"Date","Price","Open","High","Low","Change %"
"07/14/2022","95.48","95.48","95.48","95.48","-0.11%"
"07/13/2022","95.58","95.58","95.58","95.58","0.53%"
"07/12/2022","95.07","95.07","95.07","95.07","0.12%"
"07/11/2022","94.95","94.95","94.95","94.95","0.38%"
"07/08/2022","94.59","94.59","94.59","94.59","-0.48%"
"07/07/2022","95.05","95.05","95.05","95.05","-0.13%"
"07/06/2022","95.17","95.17","95.17","95.17","-1.17%"
"07/05/2022","96.30","96.30","96.30","96.30","0.07%"
"07/04/2022","96.23","96.23","96.23","96.23","0.06%"
"07/01/2022","96.17","96.17","96.17","96.17","1.46%"
"06/30/2022","94.79","94.79","94.79","94.79","0.16%"
"06/29/2022","94.64","94.64","94.64","94.64","0.07%"
"06/28/2022","94.58","94.58","94.58","94.58","-0.48%"
"06/27/2022","95.04","95.04","95.04","95.04","-0.87%"
"06/24/2022","95.88","95.88","95.88","95.88","0.05%"
"06/23/2022","95.83","95.83","95.83","95.83","0.50%"
"06/22/2022","95.35","95.35","95.35","95.35","0.54%"
"06/21/2022","94.84","94.84","94.84","94.84","-0.28%"
"06/20/2022","95.11","95.11","95.11","95.11","-0.05%"
"06/17/2022","95.16","95.16","95.16","95.16","-0.19%"
"06/16/2022","95.34","95.34","95.34","95.34","-0.03%"
"06/15/2022","95.37","95.37","95.37","95.37","2.02%"
"06/14/2022","93.48","93.48","93.48","93.48","-1.41%"
"06/13/2022","94.81","94.81","94.81","94.81","-2.75%"
"06/10/2022","97.49","97.49","97.49","97.49","-1.06%"
"06/09/2022","98.54","98.54","98.54","98.54","-0.10%"
"06/08/2022","98.63","98.63","98.63","98.63","-0.36%"
"06/07/2022","98.99","98.99","98.99","98.99","0.32%"
"06/06/2022","98.67","98.67","98.67","98.67","-0.73%"
"06/03/2022","99.40","99.40","99.40","99.40","0.51%"
"06/02/2022","98.90","98.90","98.90","98.90","0.24%"
"06/01/2022","98.66","98.66","98.66","98.66","-0.60%"
"05/31/2022","99.26","99.26","99.26","99.26","-1.02%"
"05/27/2022","100.28","100.28","100.28","100.28","0.23%"
"05/26/2022","100.05","100.05","100.05","100.05","0.79%"
"05/25/2022","99.27","99.27","99.27","99.27","-0.09%"
"05/24/2022","99.35","99.35","99.35","99.35","0.70%"
"05/23/2022","98.66","98.66","98.66","98.66","-0.52%"
"05/20/2022","99.17","99.17","99.17","99.17","-0.16%"
"05/19/2022","99.33","99.33","99.33","99.33","-0.38%"
"05/18/2022","99.70","99.70","99.70","99.70","1.04%"
"05/17/2022","98.68","98.68","98.68","98.68","-0.83%"
"05/16/2022","99.51","99.51","99.51","99.51","0.23%"
"05/13/2022","99.28","99.28","99.28","99.28","0.40%"
"05/12/2022","98.88","98.88","98.88","98.88","-0.42%"
"05/11/2022","99.30","99.30","99.30","99.30","1.44%"
"05/10/2022","97.89","97.89","97.89","97.89","-0.45%"
"05/09/2022","98.34","98.34","98.34","98.34","-0.15%"
"05/06/2022","98.48","98.48","98.48","98.48","-0.95%"
"05/05/2022","99.43","99.43","99.43","99.43","-1.06%"
"05/04/2022","100.49","100.49","100.49","100.49","0.78%"
"05/03/2022","99.71","99.71","99.71","99.71","-0.02%"
"05/02/2022","99.73","99.73","99.73","99.73","-1.43%"
"04/29/2022","101.17","101.17","101.17","101.17","-1.38%"
"04/28/2022","102.59","102.59","102.59","102.59","0.69%"
"04/27/2022","101.88","101.88","101.88","101.88","-0.75%"
"04/26/2022","102.65","102.65","102.65","102.65","0.63%"
"04/25/2022","102.01","102.01","102.01","102.01","0.05%"
"04/22/2022","101.95","101.95","101.95","101.95","-0.49%"
"04/21/2022","102.45","102.45","102.45","102.45","0.14%"
"04/20/2022","102.31","102.31","102.31","102.31","1.09%"
"04/19/2022","101.21","101.21","101.21","101.21","-0.86%"
"04/18/2022","102.09","102.09","102.09","102.09","0.09%"
"04/14/2022","101.99","101.99","101.99","101.99","-0.40%"
"04/13/2022","102.41","102.41","102.41","102.41","-0.21%"
"04/12/2022","102.63","102.63","102.63","102.63","-0.10%"
"04/11/2022","102.73","102.73","102.73","102.73","-0.27%"
"04/08/2022","103.00","103.00","103.00","103.00","0.05%"
"04/07/2022","102.95","102.95","102.95","102.95","-0.58%"
"04/06/2022","103.55","103.55","103.55","103.55","-0.56%"
"04/05/2022","104.13","104.13","104.13","104.13","-1.14%"
"04/04/2022","105.33","105.33","105.33","105.33","-0.14%"
"04/01/2022","105.48","105.48","105.48","105.48","-0.50%"
"03/31/2022","106.01","106.01","106.01","106.01","-0.51%"
"03/30/2022","106.55","106.55","106.55","106.55","0.63%"
"03/29/2022","105.88","105.88","105.88","105.88","-0.21%"
"03/28/2022","106.11","106.11","106.11","106.11","-0.04%"
"03/25/2022","106.15","106.15","106.15","106.15","-0.81%"
"03/24/2022","107.02","107.02","107.02","107.02","-1.05%"
"03/23/2022","108.15","108.15","108.15","108.15","1.30%"
"03/22/2022","106.76","106.76","106.76","106.76","-0.75%"
"03/21/2022","107.56","107.56","107.56","107.56","-1.17%"
"03/18/2022","108.84","108.84","108.84","108.84","-0.23%"
"03/17/2022","109.09","109.09","109.09","109.09","1.55%"
"03/16/2022","107.42","107.42","107.42","107.42","-0.95%"
"03/15/2022","108.45","108.45","108.45","108.45","-1.01%"
"03/14/2022","109.56","109.56","109.56","109.56","-1.59%"
"03/11/2022","111.33","111.33","111.33","111.33","0.81%"
"03/10/2022","110.43","110.43","110.43","110.43","-0.44%"
"03/09/2022","110.92","110.92","110.92","110.92","-1.46%"
"03/08/2022","112.57","112.57","112.57","112.57","0.14%"
"03/07/2022","112.41","112.41","112.41","112.41","1.08%"
"03/04/2022","111.21","111.21","111.21","111.21","1.13%"
"03/03/2022","109.97","109.97","109.97","109.97","-0.06%"
"03/02/2022","110.03","110.03","110.03","110.03","-1.25%"
"03/01/2022","111.43","111.43","111.43","111.43","1.75%"
"02/28/2022","109.52","109.52","109.52","109.52","2.15%"
"02/25/2022","107.21","107.21","107.21","107.21","-0.25%"
"02/24/2022","107.48","107.48","107.48","107.48","0.42%"
